manly had:0.5
private </s>:0.142857
that after:0.00089579
you musgrave:0.000418585
who started:0.00259067
there’s a:0.176471
spread </s>:0.0666667
of asphalt:0.000106758
<s> тієї:3.9468e-05
<s> voyage:3.9468e-05
tragic but:0.166667
time distinguished:0.00240385
sharpness of:1
gets loose:0.125
grievously </s>:1
yet these:0.00537634
information </s>:0.0851064
him twice:0.00127551
country trip:0.0123457
have fallen:0.00135318
with beer:0.000488043
the mutiny:0.000185862
and horror:0.00060024
a relation:0.000681083
all holmes’s:0.00102041
five stories:0.0104167
british army:0.0714286
this message:0.000762777
<s> regiments:1.9734e-05
most famous:0.0123967
<s> briefly:1.9734e-05
tongue with:0.0454545
scene of:0.392857
not excited:0.000711744
<s> johannis:1.9734e-05
am investigating:0.00497512
future premier:0.0357143
beautiful garden:0.0952381
<s> headings:1.9734e-05
colonel barclay:0.0357143
таке правило:0.0625
supposed murder:0.0384615
rigidity about:0.333333
<s> simple:5.9202e-05
kind with:0.0188679
таке прізвисько:0.0625
without omitting:0.0042735
what remains:0.00152672
wanted than:0.0333333
has happened:0.00660793
after hold:0.00357143
labours the:0.0666667
from waterloo:0.000931099
start by:0.027027
jackson would:0.2
doubt jackson:0.015873
struggles which:0.5
considerable service:0.025641
keen observance:0.0714286
chekens kapons:1
step you:0.0322581
say we:0.00438596
last step:0.00520833
marks on:0.05
accompany me:0.333333
fewer </s>:0.222222
think within:0.00469484
<s> regard:7.89359e-05
least of:0.030303
made so:0.0031348
fashion from:0.0294118
<s> yawned:1.9734e-05
that red:0.000298597
meercraft says:1
sprang into:0.0588235
how odd:0.0031348
my precious:0.000852515
is cut:0.000512558
pinner is:0.0769231
kindled and:0.5
also lets:0.00588235
william campion:0.0333333
office well:0.0169492
eyes kindled:0.00680272
watson i’ll:0.00746269
o mocking:0.0769231
she suddenly:0.000580383
seeing my:0.047619
cur such:1
his excitement:0.000443459
cakes etc:0.2
them watson:0.00161551
from mrs:0.000931099
the bird:0.000123908
needful to:0.25
same readers:0.00389105
are never:0.00234192
reactions of:0.2
condolence </s>:1
and re:0.000120048
your retaining:0.00185874
does upon:0.0113636
depending as:0.0666667
bakers companies:0.04
the traitor:6.1954e-05
outside on:0.0238095
interchanged a:1
where had:0.003663
meretricious depending:0.5
the fender:0.000185862
basis of:0.294118
find him:0.0397351
landlady in:0.111111
little point:0.00240964
staccatos his:1
<s> clapham:1.9734e-05
can produce:0.0027248
he snarled:0.000831255
aperninge in:0.666667
their workers:0.000981354
justify the:1
саме намірилась:0.0416667
місця звідки:0.142857
would go:0.0151515
simple one:0.272727
to justify:0.000136743
the masters:0.000681494
they tried:0.00236128
dirty i:0.333333
year olds:0.0128205
малюнків ні:0.5
<s> spinners:7.89359e-05
however an:0.00543478
are by:0.00117096
used are:0.00862069
smoked heavily:0.2
boots </s>:0.217391
дзеркальному зображенні:1
you use:0.000418585
stair to:0.0909091
knowing your:0.04
colonel you:0.0238095
hatred of:0.333333
dinah stop:0.0909091
the advantage:0.000247816
<s> types:1.9734e-05
_nottingham records:0.2
country would:0.0246914
_anyhull_ remarked:0.333333
мене прислали:0.025
churchwardens and:0.25
i added:0.000280348
understand now:0.030303
<s> wiues:1.9734e-05
very foolish:0.00172414
sporadic </s>:1
yes i’ve:0.010989
one apprentice:0.00222469
busy just:0.0666667
inscription i:1
and readye:0.000120048
examined </s>:0.147059
himself opposite:0.0125786
half believed:0.0078125
pouch and:0.333333
was very:0.0108966
ash upon:0.2
my pouch:0.000852515
heels against:0.0769231
days ago:0.0208333
no thank:0.00261438
starvation to:0.0909091
say mother:0.00438596
warehouse or:0.5
light strikes:0.0142857
great masters:0.00460829
<s> smoked:1.9734e-05
ворітця а:0.333333
linoleum </s>:0.333333
fabrics </s>:0.666667
your linoleum:0.00185874
son a:0.0123457
way their:0.00352113
the drains:6.1954e-05
моря </s>:0.2
a native:0.000170271
<s> heavily:3.9468e-05
token of:1
alice guessed:0.00498753
ill nourished:0.037037
me might:0.00119617
fill the:0.166667
i’ll fill:0.0294118
smartest of:0.5
engage in:0.166667
gentleman visitor:0.030303
тривожно змовкла:0.166667
haynes _great:0.2
she give:0.000580383
had bachelor:0.000584795
with pleasure:0.00195217
one here:0.00111235
каша тобі:1
me up:0.00119617
no man:0.00784314
uglifying </s>:1
заєць </s>:0.62963
existed as:0.05
you put:0.00083717
great stumbling:0.00460829
scratch through:0.5
door for:0.0103093
price </s>:0.147059
handkerchief in:0.333333
before my:0.0149701
carrying your:0.0526316
flash </s>:0.666667
oh not:0.010101
аліса анітрохи:0.00263852
tell that:0.00588235
них жодних:0.0333333
division into:0.111111
god bless:0.0454545
that fluffy:0.000298597
predominant form:1
educational opportunities:0.25
your bachelor:0.00185874
smoke the:0.0714286
still smoke:0.00561798
surprised and:0.0714286
american piece:0.0333333
next matters:0.0108696
evidently and:0.030303
patient evidently:0.0555556
i rushed:0.000841043
miss nancy:0.0149254
a patient:0.000340541
or advantage:0.000809061
suddenly heard:0.0294118
they cried:0.00118064
to none:0.000136743
hands shook:0.00775194
й тримати:0.0035461
were choking:0.000909091
carrier she:0.2
knocking out:0.125
risen from:0.142857
bearing on:0.214286
physical courage:0.0769231
irish </s>:0.2
table facing:0.0144928
before told:0.00299401
a prohibition:0.000681083
upstairs and:0.133333
first solutions:0.00363636
act as:0.1
my day’s:0.000852515
politics and:0.333333
it’s for:0.0232558
all awry:0.00102041
prayers the:0.125
purposeless </s>:1
own hearth:0.00512821
were severely:0.000909091
night a:0.00649351
some impatience:0.0018622
sat upright:0.0136986
invigorated to:1
certainly return:0.0131579
country has:0.0123457
open his:0.0238095
leper or:1
annoy </s>:1
quaker </s>:0.25
rest in:0.0377358
arm affectionately:0.030303
blood up:0.0357143
зоря вечірня:0.5
moriarty now:0.05
formed the:0.0857143
so deeply:0.00130719
characteristic </s>:0.1
all wasted:0.00102041
dots </s>:1
of thys:0.000213516
the i:6.1954e-05
details which:0.0857143
i frowned:0.000280348
голови випадок:0.0555556
the woven:0.000123908
the p’s:6.1954e-05
зітхання такі:1
the trap:6.1954e-05
is lord:0.000512558
beginning there:0.025641
phelps never:0.025641
_try_ to:0.5
results shows:0.0666667
черепаха вона:0.0263158
myself if:0.010101
expected said:0.0277778
much surprise:0.00321543
largely used:0.0666667
<s> disappearance:3.9468e-05
oxford d.sc:0.1
day thos:0.00420168
rather busy:0.0075188
sister was:0.0208333
two villains:0.00266667
placed the:0.0909091
<s> quarrelled:1.9734e-05
security to:0.25
precise and:0.333333
yest to:0.5
inspector shrugging:0.0140845
grew as:0.0454545
towne yt:0.0322581
suspicion might:0.0588235
the attempts:6.1954e-05
the accessories:6.1954e-05
<s> congenial:1.9734e-05
am much:0.00497512
saying it:0.0263158
on little:0.00077821
to detail:0.000136743
pulled with:0.04
of plausibly:0.000106758
corn there:0.05
the burglary:0.000123908
napoleon deliciously:0.333333
exposure to:1
i set:0.000841043
tracks going:0.142857
again they:0.00420168
raid upon:1
is further:0.00102512
<s> secretly:1.9734e-05
william had:0.0166667
of sonny:0.000106758
seems that:0.0243902
silent course:0.0666667
all heart:0.00102041
revolver </s>:0.166667
which somewhat:0.00066313
malignant inexorable:1
i speake:0.000280348
his revolver:0.000443459
which last:0.00066313
puckered eyes:0.5
anybody else’s:0.125
own or:0.00512821
ashore </s>:0.5
bull and:0.333333
whole management:0.00793651
light but:0.0142857
the parley:6.1954e-05
demon ready:1
ever talk:0.00689655
such extraordinary:0.0026738
supplying the:0.333333
cunningham afterwards:0.0384615
her brother:0.00208117
armed with:0.333333
quivering bell:0.2
вперше побачила:0.333333
та дійдеш:0.00854701
by small:0.000584795
in tracing:0.000385505
other mines:0.00181488
despair made:0.0555556
that also:0.000597193
wrist round:0.5
father has:0.0104167
old pals:0.0049505
позлипалася шерсть:1
your prompt:0.00185874
the point:0.000867356
children poor:0.00411523
believe have:0.0217391
room into:0.00454545
verily believe:0.5
тільки трюків:0.0217391
i verily:0.000280348
<s> obvious:3.9468e-05
within and:0.0222222
<s> goodall:1.9734e-05
leave in:0.0128205
roaring forever:1
commons to:0.25
expected in:0.0555556
listened with:0.2
leave off:0.0384615
hardly got:0.0140845
engage </s>:0.166667
<s> band:1.9734e-05
turned down:0.00970874
holmes hailed:0.00273973
to engage:0.000273486
upsetting a:0.5
and breeds:0.000120048
that cottage:0.00089579
upstairs together:0.0666667
тріпнула головою:1
went upstairs:0.010989
pain which:0.1
cause you:0.0222222
framed picture:0.2
commiserating me:1
value but:0.0425532
also carry:0.00588235
an ass:0.00116279
ijs vjid:0.4
compare it:0.2
rows </s>:0.2
comply </s>:0.15
write the:0.0967742
mourning shows:1
was adams:0.000622665
cunningham to:0.0384615
ashes of:0.333333
<s> ingenuity:1.9734e-05
черепаха у:0.0263158
distinctness than:0.5
our visitor:0.0115942
merit of:1
coming towards:0.0588235
цікаво може:0.0833333
little merit:0.00240964
вдома дивуватимуться:0.0909091
doubt that:0.285714
a device:0.000170271
purely imaginary:0.166667
казці тій:0.333333
i recovered:0.000280348
for fly:0.000745434
читай оскарження:0.142857
habits shunning:0.0588235
only 1s:0.00241546
professionally it:0.333333
prevailing stature:0.142857
fortune upon:0.0833333
hands beside:0.00775194
had roamed:0.000584795
tutor used:0.5
other ascended:0.00181488
falls out:0.333333
lit of:0.0769231
treat jake:0.0714286
of gentlewomen:0.000213516
so changed:0.00130719
bought it:0.0952381
sitting exactly:0.025
victor trevor:0.285714
calico dress:0.333333
chance in:0.0967742
plow and:1
inspector was:0.0140845
<s> authorities:3.9468e-05
be reminded:0.000667111
така танцювальна:0.0909091
competition which:0.25
joined us:0.125
front with:0.0227273
to barclay:0.000136743
possession </s>:0.217391
missing part:0.0833333
relief teaching:0.0333333
an ordinary:0.00116279
divert suspicion:0.333333
грифон на:0.0232558
luggage van:0.125
found nothing:0.005
пересідаємо до:1
to trace:0.000136743
are with:0.00117096
him hand:0.00127551
_not'ing_ </s>:1
sir e:0.0141844
pass through:0.0384615
will he:0.00659341
are secluded:0.00117096
once understands:0.00666667
wilson kemp:0.25
<s> solicitors:1.9734e-05
which fortunately:0.00066313
face protrudes:0.00518135
their new:0.00196271
hieroglyphics upon:1
butt end:0.333333
now in:0.00977995
claim upon:0.0833333
of west:0.000106758
extraordinary sort:0.025
station i:0.030303
head thrown:0.00598802
instantly occurred:0.0454545
lawsuit had:0.5
burglary at:0.125
interesting gossip:0.0294118
events has:0.0434783
absolutely sure:0.0555556
але тепер:0.0194175
considerable agitation:0.025641
me from:0.00717703
jealousy women’s:0.0666667
ditch moist:0.5
broadish ditch:1
closing of:0.4
man escaped:0.00236407
constraint </s>:1
my questions:0.000852515
agreed as:0.0263158
some local:0.0018622
to stain:0.000136743
junction </s>:0.333333
<s> perpetual:1.9734e-05
lied when:0.5
four yards:0.0128205
establishment </s>:0.142857
brain without:0.0588235
in john:0.000385505
distance of:0.047619
which flickered:0.00066313
fired from:0.125
with absolute:0.000488043
було найсправжнісіньке:0.0131579
<s> form:7.89359e-05
the weather:6.1954e-05
are evidently:0.00351288
of entreaty:0.000213516
куди це:0.0909091
personally consulted:0.25
and miss:0.000120048
117th has:0.5
saw all:0.008
lamp i:0.037037
crime and:0.037037
support of:0.108108
far my:0.00877193
toilet she:0.333333
with bashful:0.000488043
have pocket:0.00067659
spoken half:0.111111
pray </s>:0.0454545
appears to:0.390244
owner is:0.0384615
place in:0.0851064
and son:0.000240096
feminine term:0.0454545
brew except:0.0588235
mud that:0.142857
cunninghams father:0.166667
<s> cunninghams:1.9734e-05
on duty:0.00077821
deepen the:1
_she putteth:0.333333
leading results:0.0434783
hopeful </s>:0.5
invitation </s>:0.25
were back:0.00454545
й почувалися:0.0035461
giving you:0.04
brasiers _seq:0.25
indicate the:0.285714
made that:0.0125392
vital to:0.1
powers </s>:0.25
phelps answered:0.025641
greek e’s:0.05
order here:0.0123457
however which:0.0108696
safety upon:0.166667
<s> crossing:1.9734e-05
lose their:0.222222
its legibility:0.00398406
any straw:0.00172712
may say:0.00712589
and nestled:0.000120048
не підносять:0.0017452
he promptly:0.000415628
rather broken:0.0075188
some sense:0.0018622
the rather:6.1954e-05
strong hand:0.0540541
tarts you:0.142857
bold strong:0.166667
shakespeare </s>:0.666667
<s> равлик:1.9734e-05
you statement:0.000418585
times such:0.0169492
the bold:6.1954e-05
hotel cabby:0.0833333
like spectacle:0.00328947
порипування ящурового:1
the signs:6.1954e-05
these strong:0.00332226
lit hall:0.0769231
skill </s>:0.222222
physical weakness:0.153846
tolerable confidence:0.5
with tolerable:0.000488043
decade with:0.2
gypsies might:0.166667
suspected </s>:0.333333
our misfortune:0.00289855
summer except:0.0555556
can place:0.0027248
<s> біля:1.9734e-05
by experts:0.00116959
considerable accuracy:0.025641
the horses:0.000123908
be virtually:0.000667111
sufficient and:0.0555556
fill up:0.166667
mystris </s>:0.666667
barclay had:0.103448
touch </s>:0.0909091
blanks for:0.5
idea can:0.0181818
and especially:0.00060024
was fined:0.000933998
leaving blanks:0.0344828
holmes quietly:0.00547945
this scrap:0.000762777
with mutilated:0.000488043
тобі лізти:0.0416667
more assured:0.0019802
a west:0.000170271
refuses we:0.25
this puerile:0.000762777
<s> friendly:1.9734e-05
shoot up:0.5
так зачаровує:0.00787402
golf clubs:1
might deduce:0.00429185
із королем:0.0243902
two since:0.00266667
we might:0.00479616
causeway and:1
face upon:0.00518135
her toilet:0.000520291
astor </s>:0.2
ringleader </s>:1
_linen </s>:1
done each:0.00813008
drapers flax:0.0833333
whatever was:0.05
determined that:0.0588235
distrusted the:1
business was:0.0366492
under it:0.0060241
are written:0.00117096
<s> malt:1.9734e-05
of westernemore:0.000106758
the summe:6.1954e-05
of disappointment:0.000320273
was yosselé's:0.000311333
the maybe:6.1954e-05
room you:0.00454545
four words:0.0128205
theories of:0.222222
and twelve:0.000480192
saying coming:0.0263158
persons doing:0.0108696
will believe:0.0021978
treachery </s>:0.5
and brews:0.000120048
holmes there:0.00273973
гуску з:1
sir cried:0.0070922
most able:0.00413223
i’ll </s>:0.0588235
really offended:0.0133333
lace _see_:0.2
a measure:0.000170271
knew anything:0.025641
you into:0.000418585
suggestive about:0.25
will hear:0.0021978
genius on:0.142857
jew </s>:0.0769231
call him:0.0416667
earring </s>:0.666667
has for:0.00440529
на кухню:0.00294118
now observe:0.00488998
so ill:0.00130719
remarkable document:0.0263158
there why:0.00130208
careful examination:0.333333
returned presently:0.0192308
functionary and:1
by mr:0.00292398
please the:0.0238095
looking a:0.0116279
drawn a:0.0357143
myself looking:0.010101
our name:0.00289855
stage of:0.666667
those other:0.0151515
me or:0.00598086
folks might:0.5
first stage:0.00363636
factors in:0.25
<s> task:5.9202e-05
of following:0.000106758
cling to:1
subsequently jake:0.2
having any:0.0153846
well convinced:0.00266667
redistribute this:1
of never:0.000213516
organization the:0.111111
off chance:0.00478469
a point:0.000510812
affair proves:0.0416667
inspector had:0.0422535
or pewterer:0.000809061
harm was:0.111111
draw slowly:0.05
servants were:0.0606061
her senses:0.000520291
all exclude:0.00102041
<s> descended:1.9734e-05
himself for:0.0125786
<s> specimen:1.9734e-05
countenance of:0.0833333
a the:0.000170271
shadow passed:0.0666667
you attempt:0.000418585
housemaid </s>:0.25
bulky envelope:0.333333
<s> montrésor's:1.9734e-05
draw your:0.1
english thought:0.00877193
залюбки </s>:0.5
blunder my:0.5
would draw:0.0016835
slightest doubt:0.2
attention must:0.0208333
знаєш як:0.2
this grows:0.000762777
move of:0.0666667
glovers prepared:0.111111
of folk:0.000106758
vital </s>:0.3
found our:0.005
which vital:0.00066313
steiler was:0.333333
and jealousy:0.000120048
come so:0.00334448
of facts:0.000106758
detection to:0.333333
<s> knee:1.9734e-05
my decision:0.000852515
various points:0.0666667
laughing this:0.0555556
and willing:0.000120048
showing you:0.0454545
bureau were:0.142857
physicians extraordinary:0.0714286
order showing:0.0123457
in crying:0.000192753
seated and:0.0434783
old chap:0.0049505
every line:0.0052356
вони помітивши:0.0192308
case before:0.00515464
stand passing:0.0243902
shut as:0.0434783
lay an:0.015873
brandy colonel:0.142857
lake behind:0.142857
freely he:0.0625
миша говорила:0.030303
shaken by:0.0769231
rather shaken:0.0075188
my explanation:0.000852515
drink eh:0.0181818
earned sufficient:0.1
vestige of:1
before using:0.00898204
they quite:0.00118064
of revisiting:0.000106758
consider it:0.0588235
you’ll only:0.111111
their bonds:0.000981354
warmly i:0.5
page is:0.0588235
contrary answered:0.0217391
hour that:0.0147059
most dreadful:0.0123967
keen interest:0.142857
is unthinkable:0.00102512
перебуваємо </s>:1
this small:0.000762777
presented itself:0.0434783
i demonstrated:0.000280348
to deepen:0.000136743
had drawn:0.00233918
in dabbling:0.000192753
into the:0.333333
was introduced:0.000622665
congreve </s>:0.4
force my:0.027027
his fury:0.000443459
of skill:0.000320273
gentleman who:0.151515
into two:0.00189394
larger windows:0.037037
smoking room:0.1
that any:0.00149298
wore on:0.0625
dark house:0.0204082
turn down:0.0217391
of church:0.000106758
the furthest:6.1954e-05
hour at:0.0147059
he happened:0.000415628
as unless:0.000455581
had toppled:0.000584795
<s> clearly:7.89359e-05
them above:0.00161551
watson might:0.00746269
what regiment:0.00152672
cottages hereaboutes:0.0666667
_how long:1
from her:0.0428305
the porter:6.1954e-05
of displeasure:0.000106758
вона визирнула:0.00352113
five men:0.0416667
ship </s>:0.111111
we really:0.00119904
лісі дерево:1
almesmans daughter:1
barred behind:0.333333
it useful:0.000331675
judge what:0.1
medicine chiefly:0.130435
where this:0.003663
caressed his:1
thunder burst:0.5
he spoke:0.0103907
foot upon:0.0277778
were refused:0.000909091
hand so:0.0052356
his foot:0.000443459
quietly putting:0.0526316
athens police:0.25
her these:0.000520291
dispense with:1
appeares 17s:0.25
<s> revolver:3.9468e-05
struck out:0.0294118
could run:0.00186567
моркар граф:1
further inquiry:0.0163934
privilege to:0.142857
undo it:1
that ah:0.000298597
shed in:0.2
came at:0.0117188
expression was:0.03125
constables came:0.166667
feminine characteristics:0.0454545
<s> financial:5.9202e-05
she'll t'ink:0.2
my race:0.00170503
sucked the:1
whistle </s>:0.2
and nice:0.000120048
blew his:0.142857
of very:0.000427031
woe begone:0.166667
ferocity of:1
researches </s>:0.5
by chance:0.00116959
penury jews:0.5
marked face:0.0238095
myself became:0.010101
always seemed:0.0104167
as valid:0.000455581
immense </s>:0.1
window in:0.0410959
lesurier of:1
the doctor’s:0.000185862
professional care:0.027027
heavy sullen:0.0333333
yourself recall:0.0232558
rest watson:0.0188679
ate a:0.5
older man:0.285714
ale or:0.0833333
whether these:0.0574713
property in:0.0909091
curtly </s>:1
<s> підведіть:1.9734e-05
women shearers:0.00147929
man look:0.00472813
nervous attacks:0.0689655
wool chapman:0.0181818
don’t really:0.0142857
night light:0.00649351
i’m sure:0.142857
of murdering:0.000106758
soldiers and:0.09375
carry them:0.037037
in mind:0.00077101
кожен їй:0.2
he sitting:0.000415628
grass would:0.142857
<s> arrest:5.9202e-05
bad one:0.0344828
closed by:0.0344828
torn them:0.0909091
reached them:0.0243902
parson could:1
throat with:0.0714286
the younger:0.000433678
the prostrate:6.1954e-05
ти зневажливо:0.0103093
first visited:0.00363636
усміхнених котів:1
little laugh:0.00240964
any success:0.00345423
<s> eight:7.89359e-05
i fairly:0.000280348
of rachel:0.000106758
mylner </s>:1
shouting </s>:0.333333
thrill i:0.142857
channels from:0.5
sudden scream:0.0344828
papers which:0.1
of individualism:0.000106758
were cut:0.000909091
changed the:0.0416667
continue to:0.176471
have told:0.00811908
reduced him:0.0769231
refused to:0.444444
alec said:0.0454545
woodhouse of:1
many calls:0.00425532
_doctors commons_:1
for practising:0.000372717
me father:0.00119617
<s> deformed:1.9734e-05
a rock:0.000340541
unmade girdles:1
that errand:0.000298597
you’ll just:0.111111
оруд мишею:1
ownership of:1
companion desired:0.027027
вони неодмінно:0.0192308
three accounts:0.00471698
<s> understanding:0.000118404
fruit </s>:0.2
ні до:0.0192308
and weeping:0.000120048
defeat </s>:1
some confusion:0.0018622
sum </s>:0.0666667
action </s>:0.166667
cheeriness but:1
_carlisle_ </s>:0.166667
of filling:0.000213516
you’ve made:0.1
london star:0.00444444
he coolly:0.000415628
to stick:0.000136743
and queries:0.000120048
the fruit:0.000247816
in funds:0.000192753
that distorted:0.000298597
pieces and:0.285714
what this:0.00763359
all five:0.00102041
shows an:0.0571429
that they:0.0206032
чхала на:0.5
leaned over:0.222222
broken english:0.025641
any disturbance:0.00172712
i seeing:0.000280348
королева одному:0.0196078
astonishment leaned:0.0555556
carafe of:0.5
are obliged:0.00117096
been an:0.00404313
черевики значливо:0.25
ourselves hopelessly:0.0344828
and caught:0.000120048
always free:0.0104167
thought from:0.00469484
oranges and:1
that little:0.000298597
easily overpowered:0.0434783
window holmes:0.0136986
siding with:1
we moved:0.00119904
were his:0.00272727
chamber which:0.0909091
ordered for:0.0222222
<s> jockey:1.9734e-05
and led:0.000120048
southampton in:0.125
common between:0.0102041
much trouble:0.00321543
i wished:0.000841043
my holiday:0.000852515
for thread:0.00111815
seen all:0.00952381
are satisfied:0.00117096
як вони:0.0107527
sat smoking:0.0136986
wallington </s>:0.666667
the furnished:6.1954e-05
imagine </s>:0.0882353
the stone:0.000433678
vantrollier wife:1
lodgings to:0.166667
the brewars:6.1954e-05
strength of:0.111111
married this:0.00877193
if ever:0.0100143
of another:0.000213516
these corporations:0.00332226
presume is:0.166667
your son’s:0.00185874
command the:0.181818
the bedrooms:6.1954e-05
it you:0.00331675
must ask:0.00276243
early work:0.0333333
scent i:0.166667
in equal:0.000192753
mentioned my:0.0384615
men ended:0.00383142
frightened to:0.0714286
without disturbing:0.0042735
aptitudes </s>:1
немовля люто:0.1
<s> judgment:3.9468e-05
of yeare:0.000106758
his hams:0.000443459
a student:0.000170271
one beyond:0.00111235
unnecessary </s>:0.5
leading him:0.0434783
many ignorant:0.00425532
county nor:0.025641
between and:0.00763359
again drove:0.00420168
sheep shearing:0.0526316
inferences were:0.333333
crying help:0.0526316
his inferences:0.000443459
direction his:0.0217391
drop on:0.0909091
what direction:0.00152672
shometin an:1
regret the:0.125
щоб я:0.0606061
visitors </s>:0.333333
to score:0.000136743
<s> keen:3.9468e-05
ladies that:0.0322581
slowly taking:0.05
that beddington:0.000298597
<s> принеси:1.9734e-05
holmes walked:0.00547945
inspector as:0.0140845
мене з:0.025
several bedrooms:0.0163934
_wilts q.s:0.142857
stair which:0.0909091
enforce their:0.5
<s> ornamental:1.9734e-05
attack within:0.1
about things:0.00244499
last they:0.0104167
the landing:0.000123908
staircase directly:0.333333
clear the:0.0422535
the manufactures:6.1954e-05
balance is:0.142857
feller a:0.285714
kitchens branching:1
passage with:0.0322581
докинув капелюшник:0.25
нікуди </s>:0.5
house mr:0.00346021
appearances a:1
saw something:0.008
parcel she:0.166667
bed also:0.0208333
usually in:0.03125
or rising:0.000809061
characteristics of:0.75
was usually:0.00155666
that william:0.00119439
servants go:0.0151515
єдина складність:0.5
no master:0.00392157
the premises:0.000185862
been pushed:0.00134771
this carriage:0.000762777
crazy with:0.2
the marks:0.000123908
diligent faithful:0.111111
now was:0.00733496
lock forced:0.111111
the amateur:6.1954e-05
<s> violence:1.9734e-05
nowhere else:0.25
grotesque cut:0.25
black child:0.0166667
wetwood daughter:0.5
a chisel:0.000170271
entirely of:0.0263158
assessed as:0.25
momentum and:1
before entering:0.00598802
blow </s>:0.111111
as deficient:0.000455581
first as:0.00727273
a flourish:0.000170271
carefully away:0.0454545
fell back:0.0327869
cordiality sit:0.5
him 10s:0.00127551
paper carefully:0.00862069
all was:0.0102041
<s> drynke:1.9734e-05
his uniform:0.000443459
my co:0.000852515
about eight:0.00488998
girl to:0.0175439
maiden aunt:0.142857
john carpenter:0.00775194
your idea:0.00371747
<s> ascendancy:1.9734e-05
its voice:0.00796813
corrected the:0.2
avenue cable:0.0833333
the bow:6.1954e-05
my publishers:0.000852515
interpreter were:0.0909091
orphan with:0.2
toes in:0.25
<s> _ribbons:1.9734e-05
old gentleman:0.0049505
to fact:0.000273486
struggling against:0.111111
hand though:0.0104712
how keenly:0.0031348
soldiers by:0.03125
made and:0.0125392
вдень по:1
tuesday morning:0.1
hurriedly </s>:0.25
correct however:0.0714286
quite correct:0.00595238
buffet we:0.5
give five:0.00684932
with as:0.000976086
підхопилася так:1
lamp </s>:0.0740741
my power:0.00255754
willingly give:0.25
not mind:0.000711744
jotted down:1
shreds </s>:1
day must:0.00420168
hands mr:0.0155039
слід і:0.111111
young fitzroy:0.00724638
acton’s what:0.2
many which:0.00425532
man lives:0.00236407
<s> acton’s:5.9202e-05
things were:0.0186916
<s> suggestions:1.9734e-05
later i:0.0487805
lasted some:0.125
his backsyde:0.000443459
exert over:0.333333
depends on:0.125
wouldn’t we:0.333333
